71.0,96.5,526.8,0.602,0,0,25,25,99
70.0,96.5,680.9,0.602,0,0,25,25,99
69.0,96.5,0.0,0.602,0,0,25,0,99
69.0,96.5,1824.1,0.602,0,0,25,25,99
69.0,96.5,960.3,0.602,0,0,25,25,99
70.0,96.5,1448.2,0.602,0,0,25,25,99
70.0,96.5,1163.5,0.602,0,0,0,50,99
70.0,96.5,765.3,0.602,0,0,0,25,99
70.0,96.5,999.1,0.602,0,0,0,50,99
70.0,96.5,398.3,0.602,0,0,0,25,99
70.0,96.5,776.5,0.602,0,0,0,25,99
71.0,96.5,875.9,0.602,0,0,0,25,99
72.0,96.5,1000.5,0.602,0,0,0,50,99
72.0,96.5,777.5,0.602,0,0,25,100,99
71.0,96.5,943.6,0.602,0,0,75,100,99
72.0,96.5,0.0,0.602,0,0,100,0,99
72.0,96.5,1412.1,0.602,0,0,100,25,99
71.0,96.5,588.7,0.602,0,0,50,25,99
70.0,96.5,1235.5,0.602,0,0,50,25,99
69.0,96.5,873.5,0.602,0,0,25,25,99
69.0,96.5,985.8,0.602,0,0,25,50,99
69.0,96.5,874.3,0.602,0,0,50,100,99
68.0,96.5,880.0,0.602,0,0,75,100,99
68.0,96.5,588.7,0.602,0,0,75,25,99
68.0,96.5,699.2,0.602,0,0,50,50,99
68.0,96.5,832.7,0.602,0,0,75,100,99
67.0,96.5,509.1,0.602,0,0,75,25,99
68.0,96.5,1226.5,0.602,0,0,50,25,99
68.0,96.5,1019.7,0.602,0,0,50,50,99
68.0,96.5,1053.7,0.602,0,0,50,100,99
68.0,96.5,0.0,0.602,0,0,75,0,99
68.0,96.5,1703.3,0.602,0,0,100,25,99
67.0,96.5,1495.6,0.602,0,0,50,25,99
66.0,96.5,965.0,0.602,0,1,25,25,99
66.0,96.5,428.3,0.602,0,1,25,25,99
66.0,96.5,548.6,0.602,1,1,75,25,99
66.0,96.5,847.1,0.602,1,1,75,25,99
65.0,96.5,742.8,0.602,1,1,75,25,99
66.0,96.5,975.9,0.602,1,0,50,25,99
67.0,96.5,837.7,0.602,1,0,50,25,99
68.0,96.5,810.4,0.602,1,0,50,25,99
68.0,96.5,792.1,0.602,1,0,50,25,99
68.0,96.5,750.0,0.602,1,0,50,25,99
69.0,96.5,875.5,0.602,1,0,50,25,99
69.0,96.5,797.3,0.602,1,0,50,25,99
69.0,96.5,660.1,0.602,1,0,50,25,99
70.0,96.5,896.4,0.602,1,0,50,25,99
70.0,96.5,1112.9,0.602,0,0,25,25,99
70.0,96.5,0.0,0.602,0,0,25,0,99
70.0,96.5,1532.9,0.602,0,0,25,50,99
70.0,96.5,735.0,0.602,0,0,25,25,99
69.0,96.5,740.2,0.602,0,1,25,25,99
69.0,96.5,696.7,0.602,0,1,25,25,99
69.0,96.5,764.6,0.602,0,1,25,25,99
70.0,96.5,1112.9,0.602,0,1,25,25,99
70.0,96.5,1179.6,0.602,0,0,25,25,99
70.0,96.5,599.3,0.602,0,0,25,25,99
70.0,96.5,0.0,0.602,0,0,25,0,99
70.0,96.5,1461.2,0.602,0,0,25,25,99
71.0,96.5,859.9,0.602,0,0,25,25,99
71.0,96.5,746.9,0.602,0,0,0,25,99
71.0,96.5,879.6,0.602,0,0,0,50,99
71.0,96.5,791.0,0.602,0,0,25,100,99
71.0,96.5,795.0,0.602,0,0,50,25,99
71.0,96.5,778.9,0.602,0,0,25,25,99
71.0,96.5,562.1,0.602,0,0,25,25,99
71.0,96.5,408.9,0.602,0,0,25,25,99
72.0,96.5,458.5,0.602,0,0,25,50,99
72.0,96.5,0.0,0.602,0,0,25,0,99
72.0,96.5,955.9,0.602,0,0,25,25,99
