2023-07-08_23-12-00,1
2023-07-08_23-12-00,1
2023-07-08_23-12-00,1
2023-07-08_23-12-00,1
2023-07-08_23-12-00,1
2023-07-08_23-12-01,1
2023-07-08_23-12-01,1
2023-07-08_23-12-01,1
2023-07-08_23-12-01,1
2023-07-08_23-12-02,1
2023-07-08_23-12-02,0
2023-07-08_23-12-02,0
2023-07-08_23-12-02,0
2023-07-08_23-12-03,0
2023-07-08_23-12-03,0
2023-07-08_23-12-03,0
2023-07-08_23-12-03,0
2023-07-08_23-12-03,0
2023-07-08_23-12-04,0
2023-07-08_23-12-04,0
2023-07-08_23-12-04,0
2023-07-08_23-12-04,0
2023-07-08_23-12-05,0
2023-07-08_23-12-05,0
2023-07-08_23-12-05,0
2023-07-08_23-12-05,0
2023-07-08_23-12-05,0
2023-07-08_23-12-06,0
2023-07-08_23-12-06,0
2023-07-08_23-12-06,0
2023-07-08_23-12-06,0
2023-07-08_23-12-07,0
2023-07-08_23-12-07,0
2023-07-08_23-12-07,0
2023-07-08_23-12-07,0
2023-07-08_23-12-07,0
2023-07-08_23-12-08,0
2023-07-08_23-12-08,0
2023-07-08_23-12-08,0
2023-07-08_23-12-08,0
2023-07-08_23-12-09,0
2023-07-08_23-12-09,0
2023-07-08_23-12-09,0
2023-07-08_23-12-09,0
2023-07-08_23-12-10,0
2023-07-08_23-12-10,0
2023-07-08_23-12-10,0
2023-07-08_23-12-10,0
2023-07-08_23-12-10,0
2023-07-08_23-12-11,0
2023-07-08_23-12-11,0
2023-07-08_23-12-11,0
2023-07-08_23-12-11,0
2023-07-08_23-12-12,0
2023-07-08_23-12-12,0
2023-07-08_23-12-12,0
2023-07-08_23-12-12,0
2023-07-08_23-12-12,0
2023-07-08_23-12-13,0
2023-07-08_23-12-15,0
2023-07-08_23-12-17,0
