2023-07-03_22-55-01,0
2023-07-03_22-55-04,0
2023-07-03_22-55-06,0
2023-07-03_22-55-08,0
2023-07-03_22-55-11,0
2023-07-03_22-55-13,0
2023-07-03_22-55-15,0
2023-07-03_22-55-17,-1
2023-07-03_22-55-20,-1
2023-07-03_22-55-22,-1
2023-07-03_22-55-24,-1
2023-07-03_22-55-26,-1
2023-07-03_22-55-29,-1
2023-07-03_22-55-31,0
2023-07-03_22-55-33,0
2023-07-03_22-55-35,0
2023-07-03_22-55-38,0
2023-07-03_22-55-40,0
2023-07-03_22-55-42,0
2023-07-03_22-55-45,0
2023-07-03_22-55-47,0
2023-07-03_22-55-49,0
2023-07-03_22-55-51,0
2023-07-03_22-55-54,0
2023-07-03_22-55-56,0
2023-07-03_22-55-59,0
